token,stockname,slm,dma50,dma200
9385,PNCINFRA-EQ,0,0,0
9590,POLYCAB-EQ,0,0,0
25718,POLYMED-EQ,0,0,0
2687,POLYPLEX-EQ,0,0,0
14977,POWERGRID-EQ,0,0,0
18457,POWERINDIA-EQ,0,0,0
20302,PRESTIGE-EQ,0,0,0
16045,PRINCEPIPE-EQ,0,0,0
2739,PRSMJOHNSN-EQ,0,0,0
13147,PVR-EQ,0,0,0
17704,QUESS-EQ,0,0,0
10990,RADICO-EQ,0,0,0
15337,RAIN-EQ,0,0,0
7401,RAJESHEXPO-EQ,0,0,0
2816,RALLIS-EQ,0,0,0
2043,RAMCOCEM-EQ,0,0,0
13451,RATNAMANI-EQ,0,0,0
2859,RAYMOND-EQ,0,0,0
18391,RBLBANK-EQ,0,0,0
2866,RCF-EQ,0,0,0
15355,RECLTD-EQ,0,0,0
14255,REDINGTON-EQ,0,0,0
24225,RELAXO-EQ,0,0,0
2885,RELIANCE-EQ,0,0,0
20323,RESPONIND-EQ,0,0,0
31163,RHIM-EQ,0,0,0
3761,RITES-EQ,0,0,0
19410,ROSSARI-EQ,0,0,0
128,ROUTE-EQ,0,0,0
9552,RVNL-EQ,0,0,0
2963,SAIL-EQ,0,0,0
1442,SANOFI-EQ,0,0,0
17971,SBICARD-EQ,0,0,0
21808,SBILIFE-EQ,0,0,0
3045,SBIN-EQ,0,0,0
1011,SCHAEFFLER-EQ,0,0,0
31234,SCHNEIDER-EQ,0,0,0
3048,SCI-EQ,0,0,0
14296,SEQUENT-EQ,0,0,0
19184,SFL-EQ,0,0,0
4992,SHARDACROP-EQ,0,0,0
17752,SHILPAMED-EQ,0,0,0
11813,SHOPERSTOP-EQ,0,0,0
3103,SHREECEM-EQ,0,0,0
11739,SHRIRAMCIT-EQ,0,0,0
3150,SIEMENS-EQ,0,0,0
21501,SIS-EQ,0,0,0
18883,SJVN-EQ,0,0,0
3186,SKFINDIA-EQ,0,0,0
13826,SOBHA-EQ,0,0,0
3672,SOLARA-EQ,0,0,0
13332,SOLARINDS-EQ,0,0,0
6596,SONATSOFTW-EQ,0,0,0
11435,SPANDANA-EQ,0,0,0
14788,SPARC-EQ,0,0,0
11446,SPICEJET-EQ,0,0,0
3273,SRF-EQ,0,0,0
4306,SRTRANSFIN-EQ,0,0,0
21091,STARCEMENT-EQ,0,0,0
7374,STAR-EQ,0,0,0
9309,STLTECH-EQ,0,0,0
3327,SUDARSCHEM-EQ,0,0,0
17105,SUMICHEM-EQ,0,0,0
29008,SUNCLAYLTD-EQ,0,0,0
3339,SUNDARMFIN-EQ,0,0,0
3345,SUNDRMFAST-EQ,0,0,0
3351,SUNPHARMA-EQ,0,0,0
17641,SUNTECK-EQ,0,0,0
13404,SUNTV-EQ,0,0,0
6625,SUPPETRO-BE,0,0,0
11689,SUPRAJIT-EQ,0,0,0
3363,SUPREMEIND-EQ,0,0,0
17945,SUVENPHAR-EQ,0,0,0
12018,SUZLON-EQ,0,0,0
27095,SWANENERGY-EQ,0,0,0
12489,SWSOLAR-EQ,0,0,0
24190,SYMPHONY-EQ,0,0,0
10243,SYNGENE-EQ,0,0,0
13980,TANLA-BE,0,0,0
20092,TASTYBITE-EQ,0,0,0
3405,TATACHEM-EQ,0,0,0
724,TATACOFFEE-EQ,0,0,0
3721,TATACOMM-EQ,0,0,0
3432,TATACONSUM-EQ,0,0,0
3411,TATAELXSI-EQ,0,0,0
1621,TATAINVEST-EQ,0,0,0
3456,TATAMOTORS-EQ,0,0,0
16965,TATAMTRDVR-EQ,0,0,0
3426,TATAPOWER-EQ,0,0,0
3499,TATASTEEL-EQ,0,0,0
19223,TCIEXP-EQ,0,0,0
4172,TCNSBRANDS-EQ,0,0,0
11536,TCS-EQ,0,0,0
12716,TEAMLEASE-EQ,0,0,0
13538,TECHM-EQ,0,0,0
3475,THERMAX-EQ,0,0,0
17032,THYROCARE-EQ,0,0,0
312,TIINDIA-EQ,0,0,0
14198,TIMKEN-EQ,0,0,0
3506,TITAN-EQ,0,0,0
3518,TORNTPHARM-EQ,0,0,0
13786,TORNTPOWER-EQ,0,0,0
1964,TRENT-EQ,0,0,0
9685,TRIDENT-EQ,0,0,0
25584,TRITURBINE-EQ,0,0,0
3546,TTKPRESTIG-EQ,0,0,0
14208,TV18BRDCST-EQ,0,0,0
8479,TVSMOTOR-EQ,0,0,0
16713,UBL-EQ,0,0,0
11223,UCOBANK-EQ,0,0,0
1053,UFLEX-EQ,0,0,0
17069,UJJIVAN-EQ,0,0,0
15228,UJJIVANSFB-EQ,0,0,0
11532,ULTRACEMCO-EQ,0,0,0
10753,UNIONBANK-EQ,0,0,0
11287,UPL-EQ,0,0,0
527,UTIAMC-EQ,0,0,0
11364,VAIBHAVGBL-EQ,0,0,0
13342,VAKRANGEE-EQ,0,0,0
330,VALIANTORG-EQ,0,0,0
3857,VARROC-EQ,0,0,0
18921,VBL-EQ,0,0,0
3063,VEDL-EQ,0,0,0
3757,VENKEYS-EQ,0,0,0
15362,VGUARD-EQ,0,0,0
17364,VINATIORGA-EQ,0,0,0
3703,VIPIND-EQ,0,0,0
29284,VMART-EQ,0,0,0
3718,VOLTAS-EQ,0,0,0
3724,VSTIND-EQ,0,0,0
2073,VTL-EQ,0,0,0
16915,WABCOINDIA-EQ,0,0,0
11821,WELCORP-EQ,0,0,0
11253,WELSPUNIND-EQ,0,0,0
11580,WESTLIFE-EQ,0,0,0
18011,WHIRLPOOL-EQ,0,0,0
3787,WIPRO-EQ,0,0,0
7506,WOCKPHARMA-EQ,0,0,0
11915,YESBANK-EQ,0,0,0
3812,ZEEL-EQ,0,0,0
1076,ZENSARTECH-EQ,0,0,0
17635,ZYDUSWELL-EQ,0,0,0
